
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB ▾,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
1,33,2016-01-13,21-121,DEN,,GSW,W (+2),1,39:19,7,14,.500,1,4,.250,4,4,1.000,3,4,7,0,0,1,1,2,19,14.2,-1,29.8
2,63,2016-03-17,21-185,DEN,@,ATL,L (-18),1,31:50,6,15,.400,1,3,.333,2,3,.667,3,1,4,2,1,0,0,4,15,9.7,-19,25.5
3,11,2015-11-17,21-064,DEN,@,NOP,W (+17),1,31:50,5,8,.625,3,4,.750,3,4,.750,2,2,4,3,2,0,2,2,16,15.3,+15,30.0
4,14,2015-11-22,21-069,DEN,,GSW,L (-13),1,34:04,5,11,.455,1,3,.333,1,2,.500,2,1,3,3,1,0,2,2,12,7.9,-16,21.8
5,23,2015-12-23,21-100,DEN,@,PHO,W (+8),1,37:39,2,13,.154,0,5,.000,0,0,,2,1,3,3,0,0,0,3,4,-1.7,-5,12.3
6,27,2015-12-30,21-107,DEN,@,POR,L (-7),1,40:35,6,11,.545,4,6,.667,3,4,.750,2,2,4,2,2,0,1,1,19,17.3,+1,32.5
7,31,2016-01-08,21-116,DEN,@,MEM,L (-7),1,30:31,4,9,.444,1,4,.250,2,2,1.000,2,3,5,1,1,0,4,1,11,5.9,+1,19.3
8,45,2016-02-05,21-144,DEN,,CHI,W (+5),1,34:53,3,7,.429,0,3,.000,0,0,,2,4,6,1,0,0,0,0,6,5.6,-13,15.0
9,52,2016-02-24,21-163,DEN,@,LAC,W (+6),1,29:04,7,14,.500,3,4,.750,0,0,,2,3,5,1,3,0,2,1,17,13.6,+9,31.3
10,53,2016-02-26,21-165,DEN,@,DAL,L (-6),1,45:39,6,13,.462,3,9,.333,2,5,.400,2,2,4,0,2,0,1,4,17,10.5,-4,27.0
11,55,2016-03-02,21-170,DEN,,LAL,W (+10),1,40:12,6,12,.500,2,5,.400,2,2,1.000,2,1,3,2,1,0,3,2,16,10.3,+6,24.3
12,64,2016-03-19,21-187,DEN,@,CHO,W (+8),1,36:47,5,7,.714,1,2,.500,2,2,1.000,2,2,4,1,0,0,3,1,13,9.4,-2,18.5
13,66,2016-03-23,21-191,DEN,,PHI,W (+1),1,35:30,6,11,.545,1,2,.500,5,5,1.000,2,3,5,0,0,0,0,1,18,14.6,-1,24.8
14,67,2016-03-25,21-193,DEN,@,LAL,W (+11),1,23:40,6,13,.462,1,4,.250,0,1,.000,2,1,3,2,2,0,1,2,13,9.2,-11,23.8
15,2,2015-10-30,21-046,DEN,,MIN,L (-17),1,17:53,2,8,.250,0,2,.000,0,0,,1,0,1,1,1,0,1,3,4,-0.6,-15,8.3
16,3,2015-11-01,21-048,DEN,@,OKC,L (-24),1,26:41,2,5,.400,1,2,.500,2,3,.667,1,3,4,0,0,0,3,0,7,2.5,-22,11.0
17,9,2015-11-13,21-060,DEN,,HOU,W (+9),1,11:26,1,3,.333,1,1,1.000,0,0,,1,3,4,0,1,0,1,4,3,1.3,0,10.0
18,12,2015-11-18,21-065,DEN,@,SAS,L (-11),1,27:00,6,10,.600,1,3,.333,2,2,1.000,1,1,2,1,2,0,0,0,15,14.1,-14,23.5
19,13,2015-11-20,21-067,DEN,,PHO,L (-7),1,28:06,8,13,.615,2,4,.500,2,2,1.000,1,1,2,0,0,0,1,2,20,13.3,-2,23.0
20,15,2015-11-24,21-071,DEN,,LAC,L (-17),1,34:33,5,11,.455,3,6,.500,1,1,1.000,1,2,3,1,0,0,1,5,14,7.3,-11,20.3
21,18,2015-12-14,21-091,DEN,,HOU,W (+6),1,39:49,8,11,.727,1,2,.500,4,4,1.000,1,1,2,1,1,2,2,1,21,18.2,+12,30.5
22,19,2015-12-15,21-092,DEN,@,MIN,W (+12),1,23:34,2,5,.400,0,1,.000,0,0,,1,1,2,0,0,0,1,1,4,0.9,+3,6.0
23,21,2015-12-20,21-097,DEN,,NOP,L (-5),1,26:20,1,8,.125,0,3,.000,0,0,,1,1,2,1,3,1,0,2,2,1.4,-21,14.0
24,26,2015-12-29,21-106,DEN,,CLE,L (-6),1,32:33,5,13,.385,1,6,.167,1,2,.500,1,6,7,2,2,0,2,2,12,7.6,+1,27.3
25,32,2016-01-10,21-118,DEN,,CHO,W (+3),1,35:44,4,8,.500,3,5,.600,1,2,.500,1,0,1,3,2,0,1,3,12,10.2,+8,22.8
26,36,2016-01-19,21-127,DEN,,OKC,L (-6),1,30:28,3,8,.375,2,4,.500,3,4,.750,1,5,6,2,0,0,3,4,11,5.2,+2,21.0
27,37,2016-01-21,21-129,DEN,,MEM,L (-1),1,20:59,3,9,.333,1,3,.333,0,0,,1,1,2,4,1,0,0,1,7,6.3,-2,18.0
