
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
1,1,2015-10-28,23-175,TOR,,IND,W (+7),1,32:17,8,11,.727,0,0,,5,6,.833,1,14,15,0,0,1,2,4,21,18.1,+8,42.3
2,2,2015-10-30,23-177,TOR,@,BOS,W (+10),1,23:16,2,6,.333,0,0,,2,2,1.000,1,9,10,2,0,0,2,4,6,3.8,+6,20.5
3,3,2015-11-01,23-179,TOR,,MIL,W (+19),1,28:59,7,12,.583,0,0,,5,8,.625,4,4,8,0,2,0,2,3,19,15.0,+21,32.0
4,4,2015-11-03,23-181,TOR,@,DAL,W (+11),1,33:40,6,10,.600,0,0,,4,5,.800,2,6,8,0,0,2,4,3,16,10.4,+16,28.0
5,5,2015-11-04,23-182,TOR,@,OKC,W (+5),1,28:41,6,9,.667,0,0,,5,5,1.000,5,6,11,1,0,0,1,5,17,16.1,+6,33.3
6,6,2015-11-06,23-184,TOR,@,ORL,L (-5),1,23:02,3,6,.500,0,0,,2,3,.667,4,9,13,0,0,2,0,3,8,10.3,+10,28.3
7,7,2015-11-08,23-186,TOR,@,MIA,L (-20),1,28:29,8,12,.667,0,0,,1,2,.500,1,4,5,0,1,0,0,1,17,13.9,-7,25.3
8,8,2015-11-10,23-188,TOR,,NYK,L (-2),1,31:48,6,8,.750,0,0,,4,4,1.000,4,6,10,0,0,0,2,1,16,15.0,-1,29.0
9,9,2015-11-11,23-189,TOR,@,PHI,W (+16),1,22:40,4,8,.500,0,0,,3,4,.750,2,10,12,1,0,1,0,2,11,11.6,+19,31.0
10,10,2015-11-13,23-191,TOR,,NOP,W (+19),1,27:46,8,11,.727,0,0,,4,6,.667,6,4,10,0,0,2,4,3,20,16.3,+16,36.0
11,11,2015-11-15,23-193,TOR,@,SAC,L (-6),1,20:20,2,9,.222,0,0,,0,0,,3,2,5,0,0,0,0,2,4,0.4,-5,10.3
12,12,2015-11-17,23-195,TOR,@,GSW,L (-5),1,31:11,3,9,.333,0,0,,3,4,.750,5,6,11,0,0,0,3,5,9,3.8,-1,21.3
13,13,2015-11-18,23-196,TOR,@,UTA,L (-4),1,32:31,5,10,.500,0,0,,1,1,1.000,4,5,9,0,1,2,1,1,11,11.3,-7,27.8
14,14,2015-11-20,23-198,TOR,@,LAL,W (+11),1,17:36,1,3,.333,0,0,,1,2,.500,0,3,3,2,0,0,1,0,3,2.2,-5,9.3
15,,2015-11-22,23-200,TOR,@,LAC,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,,2015-11-25,23-203,TOR,,CLE,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,2015-11-28,23-206,TOR,@,WAS,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
18,,2015-11-29,23-207,TOR,,PHO,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
19,,2015-12-02,23-210,TOR,@,ATL,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
