
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
1,1,2015-10-28,37-066,LAL,,MIN,L (-1),1,28:56,8,24,.333,3,13,.231,5,5,1.000,0,4,4,1,2,0,0,1,24,13.9,-6,36.0
2,2,2015-10-30,37-068,LAL,@,SAC,L (-18),1,22:12,5,12,.417,1,8,.125,2,3,.667,2,2,4,3,0,0,3,2,13,6.5,-18,21.5
3,3,2015-11-01,37-070,LAL,,DAL,L (-10),1,31:21,3,15,.200,2,8,.250,7,7,1.000,2,3,5,1,0,0,1,5,15,5.7,-2,23.3
4,4,2015-11-03,37-072,LAL,,DEN,L (-11),1,29:10,4,11,.364,1,5,.200,2,3,.667,1,1,2,5,2,0,1,5,11,8.0,-4,25.0
5,5,2015-11-06,37-075,LAL,@,BRK,W (+6),1,31:02,5,16,.313,1,4,.250,7,8,.875,0,3,3,3,0,0,3,3,18,7.2,-6,25.3
6,6,2015-11-08,37-077,LAL,@,NYK,L (-4),1,32:05,6,19,.316,2,10,.200,4,7,.571,0,2,2,3,1,0,1,2,18,7.8,-1,27.5
7,,2015-11-10,37-079,LAL,@,MIA,L (-13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,,2015-11-11,37-080,LAL,@,ORL,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,7,2015-11-13,37-082,LAL,@,DAL,L (-8),1,32:25,7,15,.467,3,8,.375,2,2,1.000,0,5,5,3,0,0,6,2,19,8.1,+5,28.3
