
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
1,,2015-10-28,29-324,HOU,,DEN,L (-20),Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended
2,1,2015-10-30,29-326,HOU,,GSW,L (-20),1,21:49,4,11,.364,0,0,,1,2,.500,4,3,7,2,1,1,4,5,9,3.3,-16,22.8
3,,2015-11-01,29-328,HOU,@,MIA,L (-20),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,2,2015-11-02,29-329,HOU,,OKC,W (+5),1,34:38,6,13,.462,0,0,,4,7,.571,2,6,8,0,2,4,1,2,16,14.3,+2,37.5
5,3,2015-11-04,29-331,HOU,,ORL,W (+5),1,31:13,10,10,1.000,0,0,,3,7,.429,6,8,14,2,0,0,3,4,23,21.8,+3,43.5
6,,2015-11-06,29-333,HOU,@,SAC,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,4,2015-11-07,29-334,HOU,@,LAC,W (+4),1,29:02,8,10,.800,0,0,,4,5,.800,7,13,20,3,0,1,5,5,20,20.4,+2,50.5
8,5,2015-11-11,29-338,HOU,,BRK,L (-8),1,37:14,10,16,.625,0,0,,0,2,.000,7,10,17,1,0,5,1,0,20,23.1,-7,53.8
9,6,2015-11-13,29-340,HOU,@,DEN,L (-9),1,27:40,4,6,.667,0,0,,4,6,.667,3,7,10,1,1,1,6,5,12,7.2,-6,28.5
