
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
1,1,2015-10-27,34-224,ATL,,DET,L (-12),1,28:42,3,9,.333,1,5,.200,0,0,,0,2,2,1,1,0,1,4,7,1.6,-9,13.0
2,2,2015-10-29,34-226,ATL,@,NYK,W (+11),1,32:15,6,8,.750,3,5,.600,0,0,,0,7,7,2,1,0,1,2,15,14.5,+22,29.8
3,,2015-10-30,34-227,ATL,,CHO,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,3,2015-11-01,34-229,ATL,@,CHO,W (+2),1,31:18,3,9,.333,0,4,.000,0,0,,0,2,2,2,0,0,1,3,6,0.7,-2,11.0
5,4,2015-11-03,34-231,ATL,@,MIA,W (+6),1,34:29,4,11,.364,1,6,.167,0,0,,0,3,3,3,1,0,3,1,9,3.5,+11,18.3
6,,2015-11-04,34-232,ATL,,BRK,W (+14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,5,2015-11-06,34-234,ATL,@,NOP,W (+6),1,33:01,8,8,1.000,4,4,1.000,2,2,1.000,0,7,7,5,3,1,0,2,22,28.1,+16,48.3
8,6,2015-11-07,34-235,ATL,,WAS,W (+15),1,25:47,3,6,.500,1,3,.333,0,0,,0,2,2,5,0,0,0,4,7,6.5,+3,17.5
9,7,2015-11-09,34-237,ATL,,MIN,L (-10),1,32:23,2,5,.400,1,1,1.000,0,0,,0,2,2,1,0,0,0,2,5,2.8,+1,9.5
10,8,2015-11-11,34-239,ATL,,NOP,W (+8),1,33:19,3,7,.429,1,4,.250,0,0,,0,5,5,1,2,0,0,1,7,7.1,+13,19.3
11,9,2015-11-13,34-241,ATL,@,BOS,L (-13),1,31:03,4,6,.667,3,5,.600,0,0,,0,3,3,1,0,0,2,2,11,7.2,-18,16.8
12,10,2015-11-15,34-243,ATL,,UTA,L (-1),1,33:33,5,7,.714,1,3,.333,0,0,,1,3,4,3,0,0,2,2,11,9.0,+6,20.0
13,11,2015-11-17,34-245,ATL,@,BRK,L (-2),1,31:15,4,11,.364,2,6,.333,3,3,1.000,0,5,5,1,1,1,3,3,13,6.6,-1,24.3
14,12,2015-11-18,34-246,ATL,,SAC,W (+6),1,31:59,3,5,.600,2,4,.500,0,1,.000,0,5,5,2,0,1,0,1,8,8.5,+11,20.3
15,13,2015-11-21,34-249,ATL,@,CLE,L (-12),1,28:44,4,10,.400,3,6,.500,3,4,.750,0,1,1,1,0,0,4,3,14,4.0,-16,16.3
16,14,2015-11-24,34-252,ATL,,BOS,W (+24),1,33:01,6,10,.600,3,3,1.000,0,0,,0,7,7,3,0,0,2,2,15,11.8,+24,28.8
17,15,2015-11-25,34-253,ATL,@,MIN,L (-4),1,36:00,3,6,.500,3,4,.750,2,2,1.000,0,9,9,1,2,0,2,3,11,10.2,+8,28.3
18,16,2015-11-27,34-255,ATL,@,MEM,W (+15),1,34:26,4,9,.444,3,8,.375,2,3,.667,0,3,3,1,1,0,1,2,13,8.7,+29,21.3
19,17,2015-11-28,34-256,ATL,@,SAS,L (-20),1,25:27,3,4,.750,0,1,.000,0,0,,0,1,1,0,1,1,2,0,6,4.4,-29,10.3
20,18,2015-11-30,34-258,ATL,,OKC,W (+6),1,34:06,4,13,.308,3,9,.333,0,0,,1,4,5,1,0,0,0,0,11,6.1,+17,20.3
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
21,19,2015-12-02,34-260,ATL,,TOR,L (-10),1,30:30,4,9,.444,3,5,.600,1,1,1.000,0,2,2,1,2,0,3,1,12,7.2,-4,20.0
22,20,2015-12-04,34-262,ATL,,LAL,W (+13),1,32:34,3,8,.375,1,5,.200,0,0,,0,6,6,4,1,3,3,1,7,6.9,+13,27.5
23,21,2015-12-09,34-267,ATL,@,DAL,W (+3),1,33:12,3,8,.375,1,6,.167,1,1,1.000,0,1,1,2,1,1,3,1,8,3.6,0,15.3
24,22,2015-12-10,34-268,ATL,@,OKC,L (-13),1,34:32,4,8,.500,4,7,.571,0,0,,0,3,3,4,0,1,1,3,12,10.2,-2,25.3
25,23,2015-12-12,34-270,ATL,,SAS,L (-25),1,25:11,2,8,.250,1,4,.250,0,0,,0,2,2,1,3,0,1,2,5,2.7,-10,15.0
26,24,2015-12-14,34-272,ATL,,MIA,L (-12),1,33:07,2,12,.167,1,8,.125,0,0,,0,8,8,2,0,0,1,0,5,0.2,-4,18.0
27,25,2015-12-16,34-274,ATL,,PHI,W (+21),1,26:55,2,5,.400,2,4,.500,1,1,1.000,0,3,3,7,2,0,4,3,7,6.9,+25,24.3
28,26,2015-12-18,34-276,ATL,@,BOS,W (+8),1,35:13,4,9,.444,1,4,.250,2,2,1.000,0,5,5,2,2,0,0,4,11,9.6,+5,24.8
29,27,2015-12-20,34-278,ATL,@,ORL,W (+3),1,34:53,6,8,.750,6,8,.750,1,2,.500,0,2,2,5,1,0,1,2,19,18.7,-2,33.5
30,28,2015-12-21,34-279,ATL,,POR,W (+9),1,29:16,2,4,.500,2,4,.500,3,3,1.000,0,2,2,0,0,0,1,1,9,6.2,+10,12.0
31,29,2015-12-23,34-281,ATL,,DET,W (+7),1,28:51,3,6,.500,1,3,.333,2,2,1.000,0,5,5,3,0,2,1,1,9,9.6,+13,23.8
32,30,2015-12-26,34-284,ATL,,NYK,W (+19),1,24:34,1,7,.143,1,6,.167,0,0,,0,1,1,0,0,0,1,4,3,-3.8,+8,4.3
33,31,2015-12-28,34-286,ATL,@,IND,L (-6),1,28:43,1,9,.111,0,8,.000,0,0,,0,2,2,0,0,2,1,1,2,-3.3,+2,8.0
34,32,2015-12-29,34-287,ATL,@,HOU,W (+6),1,30:58,0,11,.000,0,10,.000,2,2,1.000,1,2,3,4,0,1,0,4,2,-2.5,+13,13.8
35,33,2016-01-03,34-292,ATL,@,NYK,L (-14),1,28:44,5,12,.417,2,6,.333,1,1,1.000,1,2,3,3,1,0,1,1,13,9.6,-13,23.8
36,34,2016-01-05,34-294,ATL,,NYK,L (-6),1,33:05,4,14,.286,2,9,.222,2,3,.667,1,2,3,1,0,0,1,3,12,3.2,-5,17.8
37,35,2016-01-07,34-296,ATL,@,PHI,W (+28),1,20:49,2,5,.400,1,3,.333,0,0,,0,4,4,2,2,0,1,1,5,5.5,-2,17.0
38,36,2016-01-09,34-298,ATL,,CHI,W (+15),1,31:08,5,8,.625,3,6,.500,0,0,,0,2,2,1,0,1,3,3,13,7.2,+10,19.0
39,37,2016-01-13,34-302,ATL,@,CHO,L (-23),1,23:13,2,6,.333,2,4,.500,1,1,1.000,0,2,2,0,0,0,1,1,7,2.8,-24,10.0
40,38,2016-01-15,34-304,ATL,@,MIL,L (-7),1,41:15,7,10,.700,3,5,.600,0,0,,0,4,4,3,1,1,2,5,17,13.8,-6,31.0
